dt,angle,angle_dt,pwm,pos,pos_dt
0.006000000052154064,2.720852851867676,0.13556000590324402,5.0,0.0022972896695137024,0.1276271641254425
0.004999999888241291,2.723137855529785,0.14062300324440002,5.0,0.0022972896695137024,0.0
0.006000000052154064,2.7251482009887695,0.15661099553108215,5.0,0.0024249167181551456,0.06381352245807648
0.004999999888241291,2.726475238800049,0.15940898656845093,5.0,0.0024249167181551456,0.0
0.006000000052154064,2.7286489009857178,0.18045899271965027,5.0,0.0026801712810993195,0.06381363421678543
0.006000000052154064,2.730909824371338,0.18552199006080627,5.0,0.0028077985625714064,0.0
0.004999999888241291,2.7333269119262695,0.1955139935016632,5.0,0.0029354258440434933,0.06381363421678543
0.006000000052154064,2.7358219623565674,0.20444099605083466,5.0,0.0030630528926849365,0.0
0.004999999888241291,2.7374095916748047,0.20444099605083466,5.0,0.003190680406987667,0.0
0.006000000052154064,2.7395052909851074,0.21323399245738983,5.0,0.0033183074556291103,0.0
0.004999999888241291,2.7416224479675293,0.216963991522789,5.0,0.0034459345042705536,0.0
0.006000000052154064,2.743708610534668,0.2324189990758896,5.0,0.003573561552911997,0.0
0.004999999888241291,2.7457199096679688,0.23201999068260193,5.0,0.0037011890672147274,0.0
0.006000000052154064,2.7471163272857666,0.24041299521923065,5.0,0.0038288163486868143,0.0
0.006000000052154064,2.749154806137085,0.2357499897480011,5.0,0.003956443630158901,0.0
0.004999999888241291,2.7517173290252686,0.24814099073410034,5.0,0.0040840706788003445,0.06381352245807648
0.004999999888241291,2.754392147064209,0.23082099854946136,5.0,0.004339324776083231,0.0
0.006000000052154064,2.7565338611602783,0.22176100313663483,5.0,0.004339324776083231,0.0
0.006000000052154064,2.7577693462371826,0.22589099407196045,5.0,0.004594579339027405,0.06381375342607498
0.004999999888241291,2.7597081661224365,0.225491002202034,5.0,0.004594579339027405,0.0
0.006000000052154064,2.761610269546509,0.2093699872493744,5.0,0.004722206853330135,0.06381375342607498
0.004999999888241291,2.763373851776123,0.20430800318717957,5.0,0.004849833436310291,0.0
0.006000000052154064,2.7650089263916016,0.1913839876651764,5.0,0.004977460950613022,0.06381375342607498
0.004999999888241291,2.766200065612793,0.18072599172592163,5.0,0.005105087533593178,0.0
0.006000000052154064,2.7678098678588867,0.16074100136756897,5.0,0.005105087533593178,0.0
0.004999999888241291,2.7692577838897705,0.15421299636363983,5.0,0.005360342562198639,0.06381375342607498
0.006000000052154064,2.770813226699829,0.1330289989709854,5.0,0.005360342562198639,0.0
0.004999999888241291,2.772127628326416,0.10731499642133713,5.0,0.005615596659481525,0.06381352245807648
0.006000000052154064,2.772989511489868,0.08826299756765366,0.0,0.005615596659481525,0.0
0.006000000052154064,2.7743046283721924,0.07467499375343323,0.0,0.005743224173784256,0.0
0.004999999888241291,2.774604320526123,0.01978299766778946,0.0,0.005743224173784256,0.0
0.006000000052154064,2.774890899658203,0.025511998683214188,0.0,0.005743224173784256,0.0
0.004999999888241291,2.7748563289642334,-0.012192003428936005,0.0,0.005743224173784256,0.0
0.006000000052154064,2.774817943572998,-0.021119005978107452,0.0,0.005615596659481525,-0.06381375342607498
0.004999999888241291,2.77472186088562,-0.03350900113582611,0.0,0.005615596659481525,0.0
0.006000000052154064,2.774592161178589,-0.036173999309539795,0.0,0.0054879700765013695,0.0
0.004999999888241291,2.774374485015869,-0.0472320020198822,0.0,0.0054879700765013695,0.0
0.006000000052154064,2.7741708755493164,-0.05775700509548187,0.0,0.0054879700765013695,0.0
0.004999999888241291,2.773953437805176,-0.058955997228622437,0.0,0.0054879700765013695,0.0
0.006000000052154064,2.7737488746643066,-0.0694819986820221,0.0,0.0054879700765013695,0.0
0.004999999888241291,2.773787260055542,-0.08133900165557861,0.0,0.0054879700765013695,0.0
0.006000000052154064,2.773851156234741,-0.09746000170707703,0.0,0.0054879700765013695,0.0
0.004999999888241291,2.7738242149353027,-0.10745300352573395,0.0,0.0054879700765013695,0.0
0.006000000052154064,2.7736735343933105,-0.12557199597358704,0.0,0.0054879700765013695,0.0
0.004999999888241291,2.7735788822174072,-0.1360969990491867,0.0,0.0054879700765013695,0.0
0.006000000052154064,2.77352237701416,-0.14875400066375732,0.0,0.0054879700765013695,0.0
0.004999999888241291,2.773264169692993,-0.1643420159816742,0.0,0.0054879700765013695,0.0
0.006000000052154064,2.7731080055236816,-0.17087098956108093,0.0,0.0054879700765013695,0.0
0.006000000052154064,2.772782802581787,-0.1777990162372589,0.0,0.0054879700765013695,0.0
0.004999999888241291,2.7723255157470703,-0.1857919991016388,0.0,0.0054879700765013695,0.0
0.004999999888241291,2.7718520164489746,-0.19018900394439697,0.0,0.0054879700765013695,0.0
0.006000000052154064,2.7713348865509033,-0.19125500321388245,0.0,0.0054879700765013695,0.0
0.006000000052154064,2.770946502685547,-0.19631800055503845,0.0,0.0054879700765013695,0.0
0.004999999888241291,2.770357608795166,-0.20004799962043762,0.0,0.0054879700765013695,0.0
0.004999999888241291,2.7698776721954346,-0.19565200805664062,0.0,0.0054879700765013695,0.0
0.006000000052154064,2.7693469524383545,-0.19325301051139832,0.0,0.0054879700765013695,0.0
0.006000000052154064,2.769007921218872,-0.19685101509094238,0.0,0.0054879700765013695,0.0
0.004999999888241291,2.76853346824646,-0.1916550099849701,0.0,0.0054879700765013695,0.0
0.006000000052154064,2.7681477069854736,-0.18166199326515198,0.0,0.0054879700765013695,0.0
0.004999999888241291,2.7677290439605713,-0.1788640022277832,0.0,0.0054879700765013695,0.0
0.006000000052154064,2.76737904548645,-0.17526701092720032,0.0,0.0054879700765013695,0.0
0.004999999888241291,2.7671923637390137,-0.1644749939441681,0.0,0.0054879700765013695,0.0
