dt,angle,angle_dt,pwm,pos,pos_dt,source_file
0.052,2.8125,0.0038,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8124,-0.0047,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8121,-0.0067,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,-0.0026,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,0.0027,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8121,0.0047,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8123,0.0017,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8122,-0.0031,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,-0.0005,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8118,0.0002,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8118,-0.0005,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8118,0.0041,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8118,0.0005,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8118,-0.0017,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8117,-0.0006,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8117,0.0007,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8118,0.0022,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,0.0033,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,0.0022,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,-0.003,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8118,-0.0017,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8118,0.0009,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8118,0.0013,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,0.0015,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,-0.0006,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,-0.0007,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,-0.0009,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8117,0.0005,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,0.0015,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,0.0035,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,0.0006,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,-0.0011,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,-0.0002,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,-0.0002,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,0.0011,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,0.0013,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8121,0.0027,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8121,-0.0015,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,0.0038,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,0.0017,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8118,-0.0003,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,0.0006,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,-0.0003,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,-0.001,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.052,2.812,0.0017,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,0.0007,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8121,0.0019,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,-0.0001,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8118,-0.0007,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,-0.0011,0.0,-0.1315,0.0,ident_20250910_062016.csv
