dt,angle,angle_dt,pwm,pos,pos_dt,source_file
0.051,2.7949,-0.017,-15.0,-0.1863,-0.0638,ident_20250910_060300.csv
0.051,2.7762,-0.2881,-15.0,-0.193,-0.2553,ident_20250910_060300.csv
0.051,2.7529,-0.4563,-15.0,-0.2015,-0.1915,ident_20250910_060300.csv
0.051,2.7324,-0.3784,-15.0,-0.211,-0.1276,ident_20250910_060300.csv
0.052,2.7183,-0.3101,-15.0,-0.2216,-0.2553,ident_20250910_060300.csv
0.051,2.703,-0.3045,0.0,-0.2322,-0.2553,ident_20250910_060300.csv
0.051,2.7183,-0.1133,0.0,-0.2367,-0.0638,ident_20250910_060300.csv
0.052,2.7422,0.4145,0.0,-0.2379,0.0,ident_20250910_060300.csv
0.051,2.7774,0.8018,0.0,-0.2378,0.0,ident_20250910_060300.csv
0.051,2.8179,0.8718,0.0,-0.2378,0.0,ident_20250910_060300.csv
0.051,2.8536,0.6004,0.0,-0.2378,0.0,ident_20250910_060300.csv
0.051,2.8667,0.1308,0.0,-0.2378,0.0,ident_20250910_060300.csv
0.05,2.8558,-0.3421,0.0,-0.2378,0.0,ident_20250910_060300.csv
0.052,2.8285,-0.5862,0.0,-0.2378,0.0,ident_20250910_060300.csv
0.05,2.7983,-0.5556,0.0,-0.2378,0.0,ident_20250910_060300.csv
0.051,2.7784,-0.3136,0.0,-0.2378,0.0,ident_20250910_060300.csv
0.051,2.7744,0.037,0.0,-0.2378,0.0,ident_20250910_060300.csv
0.051,2.786,0.3212,0.0,-0.2378,0.0,ident_20250910_060300.csv
0.051,2.8069,0.4469,0.0,-0.2378,0.0,ident_20250910_060300.csv
0.051,2.8267,0.3523,0.0,-0.2378,0.0,ident_20250910_060300.csv
0.051,2.8358,0.1173,0.0,-0.2378,0.0,ident_20250910_060300.csv
0.051,2.8317,-0.1529,0.0,-0.2378,0.0,ident_20250910_060300.csv
0.051,2.8177,-0.303,0.0,-0.2378,0.0,ident_20250910_060300.csv
0.051,2.8026,-0.2804,0.0,-0.2378,0.0,ident_20250910_060300.csv
0.051,2.7935,-0.1362,0.0,-0.2378,0.0,ident_20250910_060300.csv
0.051,2.7932,0.0547,0.0,-0.2378,0.0,ident_20250910_060300.csv
0.051,2.801,0.1902,0.0,-0.2378,0.0,ident_20250910_060300.csv
0.051,2.8112,0.2063,0.0,-0.2378,0.0,ident_20250910_060300.csv
0.051,2.8186,0.1153,0.0,-0.2378,0.0,ident_20250910_060300.csv
0.051,2.8195,-0.0185,0.0,-0.2378,0.0,ident_20250910_060300.csv
0.051,2.8144,-0.1198,0.0,-0.2378,0.0,ident_20250910_060300.csv
