timestamp,dt,angle,angle_dt,pwm,pos,pos_dt
1757459637.977893,0.003,2.8184,-0.0034,15.0,0.0,0.0
1757459638.0220926,0.002,2.8251,-0.019,15.0,0.0009,0.0
1757459638.0697107,0.002,2.83,0.0343,15.0,0.0023,0.0638
1757459638.0728016,0.002,2.8383,0.1526,15.0,0.0045,0.1914
1757459638.1203127,0.002,2.8458,0.2484,15.0,0.0068,0.1276
1757459638.1233332,0.002,2.8553,0.3313,0.0,0.0098,0.1276
1757459638.1688743,0.002,2.8604,0.3635,0.0,0.0108,0.0
1757459638.2164853,0.002,2.8579,0.4949,0.0,0.0119,0.0638
1757459638.2196302,0.002,2.8622,0.5149,0.0,0.0129,0.0638
1757459638.265658,0.002,2.8702,0.491,0.0,0.013,0.0
1757459638.31389,0.002,2.8788,0.4327,15.0,0.0133,0.0638
1757459638.316806,0.002,2.8898,0.4257,15.0,0.0156,0.0638
1757459638.363679,0.002,2.9,-0.0586,15.0,0.0167,0.0
1757459638.4113028,0.002,2.9001,-0.2059,15.0,0.019,0.0
1757459638.415266,0.002,2.8974,-0.2937,15.0,0.0217,0.1276
1757459638.4612548,0.002,2.8883,-0.5483,-15.0,0.0234,0.0
1757459638.5089767,0.002,2.8639,-0.3493,-15.0,0.0226,0.0
1757459638.5116389,0.002,2.8445,-0.3268,-15.0,0.0223,0.0
1757459638.5586805,0.002,2.8312,-0.4042,-15.0,0.0207,-0.1276
1757459638.6062872,0.002,2.8181,-0.4341,-15.0,0.0185,-0.1276
1757459638.6094146,0.002,2.807,-0.4379,0.0,0.0168,0.0
1757459638.6563356,0.002,2.805,-0.4076,0.0,0.0162,-0.0638
1757459638.7038627,0.002,2.8038,-0.6137,0.0,0.0151,0.0
1757459638.7070847,0.002,2.7951,-0.5618,0.0,0.0144,-0.0425
1757459638.7533817,0.002,2.7874,-0.3758,-40.0,0.0143,0.0
1757459638.8008416,0.002,2.7743,-0.6869,-40.0,0.0101,-0.3191
1757459638.8043573,0.002,2.7646,0.1905,-40.0,0.0047,-0.2553
1757459638.8512022,0.002,2.7555,0.3762,-40.0,-0.002,-0.3829
1757459638.8988485,0.002,2.7558,0.4736,-40.0,-0.0101,-0.4467
1757459638.9022164,0.002,2.7605,0.6241,0.0,-0.0199,-0.3829
1757459638.9487507,0.002,2.7856,0.9015,0.0,-0.025,-0.2553
1757459638.9962773,0.002,2.8213,0.8324,0.0,-0.0292,-0.1276
1757459639.046844,0.002,2.843,0.2888,0.0,-0.0323,-0.0638
1757459639.0944233,0.002,2.8562,-0.0356,0.0,-0.035,-0.0638
1757459639.0976899,0.002,2.8574,-0.1438,15.0,-0.0361,0.0
1757459639.1443777,0.002,2.8633,-0.2378,15.0,-0.0359,0.0
1757459639.1919713,0.001,2.8626,-0.3335,15.0,-0.0347,0.0638
1757459639.1953359,0.002,2.8605,-0.32,15.0,-0.0325,0.1276
1757459639.241864,0.002,2.8571,-0.2596,15.0,-0.0301,0.1276
1757459639.2894745,0.002,2.8561,-0.1418,30.0,-0.0264,0.2553
1757459639.2927847,0.002,2.8643,-0.233,30.0,-0.0213,0.2553
1757459639.3396592,0.002,2.8685,-0.1388,30.0,-0.0149,0.3191
1757459639.3869538,0.002,2.8694,-0.1278,30.0,-0.0078,0.3829
1757459639.3908567,0.002,2.8712,-0.0591,30.0,0.0005,0.3829
1757459639.4369829,0.002,2.8698,-0.0368,0.0,0.0068,0.2553
1757459639.485916,0.002,2.8572,0.1817,0.0,0.0108,0.1914
1757459639.4892707,0.002,2.8522,0.7395,0.0,0.0143,0.1276
1757459639.5343516,0.002,2.8601,0.9196,0.0,0.0166,0.0638
1757459639.5366933,0.002,2.8745,1.0001,0.0,0.0179,0.0
1757459639.5826385,0.002,2.8911,0.9932,0.0,0.0186,0.0638
1757459639.6306367,0.001,2.9055,0.9294,0.0,0.0188,0.0
1757459639.6340399,0.002,2.9207,0.7298,0.0,0.0186,0.0
1757459639.67972,0.002,2.93,0.4722,0.0,0.0186,0.0
1757459639.684504,0.002,2.934,0.1829,0.0,0.0186,0.0
1757459639.7289288,0.002,2.9313,-0.1389,0.0,0.0186,0.0
1757459639.7766116,0.002,2.923,-0.4146,0.0,0.0186,0.0
1757459639.7798526,0.002,2.908,-0.6524,0.0,0.0186,0.0
1757459639.8268647,0.002,2.8913,-0.8172,0.0,0.0186,0.0
1757459639.8743982,0.002,2.8621,-0.9528,0.0,0.0186,0.0
1757459639.8782084,0.001,2.8421,-0.9603,0.0,0.0186,0.0
1757459639.9249837,0.002,2.8179,-0.8775,0.0,0.0186,0.0
1757459639.9741216,0.002,2.7867,-0.4913,0.0,0.0186,0.0
1757459639.9763596,0.002,2.7809,-0.278,0.0,0.0186,0.0
1757459640.020969,0.002,2.7808,0.053,0.0,0.0186,0.0
1757459640.0687797,0.002,2.7992,0.5271,0.0,0.0186,0.0
1757459640.0713067,0.002,2.8121,0.6612,0.0,0.0186,0.0
1757459640.1183405,0.002,2.8329,0.7684,0.0,0.0186,0.0
1757459640.1211882,0.002,2.87,0.7204,0.0,0.0186,0.0
1757459640.1675925,0.002,2.8819,0.6156,0.0,0.0186,0.0
1757459640.2152016,0.002,2.8935,0.3822,0.0,0.0186,0.0
1757459640.2188458,0.002,2.8969,0.1894,0.0,0.0186,0.0
1757459640.265346,0.002,2.8945,-0.1132,0.0,0.0186,0.0
1757459640.3128884,0.002,2.876,-0.494,0.0,0.0186,0.0
1757459640.315678,0.002,2.8627,-0.6025,0.0,0.0186,0.0
1757459640.362447,0.002,2.845,-0.655,0.0,0.0186,0.0
1757459640.409883,0.002,2.831,-0.6425,0.0,0.0186,0.0
1757459640.4133675,0.002,2.8149,-0.5389,0.0,0.0186,0.0
1757459640.4599082,0.002,2.7986,-0.2501,0.0,0.0186,0.0
