timestamp,dt,angle,angle_dt,pwm,pos,pos_dt
1757459239.3906367,0.002,2.8303,0.0015,30.0,0.0,0.0
1757459239.4358788,0.002,2.8418,0.0181,30.0,0.0015,0.0638
1757459239.483325,0.002,2.8544,-0.1198,30.0,0.0047,0.1276
1757459239.4875588,0.002,2.8628,-0.0588,30.0,0.0093,0.2553
1757459239.5334036,0.002,2.8688,0.0005,30.0,0.0147,0.3191
1757459239.5808215,0.002,2.8745,-0.0085,30.0,0.0216,0.3191
1757459239.5843222,0.002,2.8812,0.0953,30.0,0.0291,0.3829
1757459239.6308439,0.002,2.8872,0.1674,30.0,0.0375,0.3829
1757459239.6785014,0.002,2.8919,0.2412,30.0,0.0456,0.4467
1757459239.682457,0.002,2.8992,0.2628,30.0,0.0546,0.3829
1757459239.7283185,0.002,2.9081,0.3734,30.0,0.0642,0.4467
1757459239.776148,0.002,2.9183,0.4248,30.0,0.0739,0.4467
1757459239.7795568,0.001,2.9272,0.4785,30.0,0.0833,0.4467
1757459239.8260179,0.002,2.9361,0.489,30.0,0.0924,0.4467
1757459239.8733327,0.002,2.9431,0.3551,30.0,0.1026,0.4467
1757459239.877075,0.002,2.9467,0.1373,30.0,0.113,0.5105
1757459239.9234471,0.002,2.9475,-0.025,30.0,0.1235,0.5105
1757459239.9709222,0.002,2.9445,-0.1081,30.0,0.1336,0.4467
1757459239.97358,0.002,2.9361,-0.2763,30.0,0.1445,0.4467
1757459240.0209494,0.002,2.9255,-0.4165,30.0,0.1554,0.5105
1757459240.0678828,0.002,2.9153,-0.5009,30.0,0.1654,0.5105
1757459240.0711613,0.002,2.9055,-0.4321,30.0,0.1769,0.5105
1757459240.1179397,0.001,2.8964,-0.4441,30.0,0.1868,0.5105
1757459240.165801,0.002,2.8856,-0.4207,30.0,0.1979,0.3403
1757459240.169291,0.002,2.8766,-0.3418,-30.0,0.2082,0.3829
1757459240.2158809,0.002,2.8526,-0.4802,-30.0,0.2098,-0.0638
1757459240.263472,0.002,2.8255,-0.2295,-30.0,0.2093,0.0
1757459240.2665923,0.002,2.8072,0.4259,-30.0,0.2087,0.0
1757459240.31332,0.002,2.803,0.7347,-30.0,0.207,-0.0638
1757459240.360903,0.002,2.8078,0.889,-30.0,0.2037,-0.1276
1757459240.3643825,0.002,2.8157,0.8268,-30.0,0.1983,-0.2553
1757459240.4108155,0.002,2.8232,0.6578,-30.0,0.1925,-0.3191
1757459240.4585872,0.003,2.8284,0.5166,-30.0,0.1849,-0.3829
1757459240.4613245,0.002,2.831,0.2748,-30.0,0.1766,-0.3829
1757459240.508665,0.002,2.8298,0.031,-30.0,0.1674,-0.4467
1757459240.5563958,0.002,2.8241,-0.2938,-30.0,0.1583,-0.3829
1757459240.5601974,0.002,2.814,-0.4932,-30.0,0.1482,-0.5105
1757459240.6060803,0.002,2.8005,-0.7087,-30.0,0.1383,-0.8934
1757459240.6535466,0.002,2.784,-0.8502,-30.0,0.1288,-0.5105
1757459240.6571698,0.002,2.7633,-1.0618,-30.0,0.1179,-0.5105
1757459240.7034223,0.002,2.741,-1.0722,-30.0,0.1072,-0.5105
1757459240.7509592,0.002,2.7173,-1.1981,-30.0,0.0965,-0.4467
1757459240.7543466,0.002,2.6924,-1.3861,-30.0,0.0861,-0.8934
1757459240.801248,0.002,2.6648,-1.3353,0.0,0.0754,-0.4467
1757459240.8493912,0.002,2.6537,-0.7865,0.0,0.0693,-0.1914
1757459240.8523362,0.002,2.6629,-0.2291,0.0,0.0651,-0.1276
1757459240.898397,0.002,2.6714,-0.5935,0.0,0.0614,-0.1914
1757459240.946219,0.002,2.6766,-0.3106,0.0,0.059,0.0
1757459240.9488726,0.002,2.6843,0.1186,0.0,0.0576,-0.0638
1757459240.995496,0.002,2.7014,0.5111,0.0,0.0569,0.0
1757459240.9990861,0.002,2.7243,0.9391,0.0,0.0569,0.0
1757459241.0446424,0.002,2.7509,1.3091,0.0,0.0569,0.0
1757459241.0919027,0.002,2.7842,1.6504,0.0,0.0569,0.0
1757459241.0956957,0.002,2.8191,1.826,0.0,0.0569,0.0
1757459241.1416998,0.002,2.8586,1.8492,0.0,0.0569,0.0
1757459241.145616,0.002,2.8922,1.7222,0.0,0.0569,0.0
1757459241.1909866,0.002,2.9234,1.4631,0.0,0.0569,0.0
1757459241.2386863,0.002,2.9459,1.1024,0.0,0.0569,0.0
1757459241.2408974,0.002,2.9604,0.6946,0.0,0.0569,0.0
1757459241.2878408,0.002,2.9649,0.2656,0.0,0.0569,0.0
1757459241.3361282,0.002,2.9596,-0.2222,0.0,0.0569,0.0
1757459241.3397408,0.002,2.946,-0.6394,0.0,0.0569,0.0
1757459241.386161,0.002,2.8961,-1.3333,0.0,0.0569,0.0
1757459241.4344409,0.002,2.8626,-1.5237,0.0,0.0569,0.0
1757459241.4382918,0.002,2.8152,-1.5799,0.0,0.0569,0.0
1757459241.4832947,0.002,2.755,-1.1948,0.0,0.0569,0.0
1757459241.5309045,0.002,2.7376,-0.8791,0.0,0.0569,0.0
1757459241.5337052,0.002,2.7248,-0.2872,0.0,0.0569,0.0
1757459241.5805702,0.002,2.7418,0.6421,0.0,0.0569,0.0
1757459241.584101,0.002,2.7605,0.9536,0.0,0.0569,0.0
1757459241.6295016,0.002,2.7967,1.2703,0.0,0.0569,0.0
1757459241.6770818,0.001,2.8591,1.3348,0.0,0.0569,0.0
1757459241.679785,0.002,2.8825,1.199,0.0,0.0569,0.0
1757459241.7263505,0.002,2.9093,0.8625,0.0,0.0569,0.0
1757459241.7301855,0.002,2.9236,0.0993,0.0,0.0569,0.0
1757459241.7765753,0.002,2.9175,-0.2671,0.0,0.0569,0.0
1757459241.8241227,0.002,2.9003,-0.6783,0.0,0.0569,0.0
1757459241.8285153,0.002,2.8798,-0.938,0.0,0.0569,0.0
1757459241.873564,0.002,2.8461,-1.1495,0.0,0.0569,0.0
1757459241.9211934,0.002,2.7925,-1.0968,0.0,0.0569,0.0
1757459241.9249587,0.002,2.7722,-0.9162,0.0,0.0569,0.0
1757459241.971498,0.002,2.7549,-0.6008,0.0,0.0569,0.0
1757459242.0191169,0.001,2.7487,-0.2839,0.0,0.0569,0.0
1757459242.0220413,0.002,2.7511,0.1468,0.0,0.0569,0.0
1757459242.0674477,0.002,2.7784,0.7423,0.0,0.0569,0.0
1757459242.070734,0.002,2.7981,0.9212,0.0,0.0569,0.0
1757459242.1168365,0.002,2.827,1.0158,0.0,0.0569,0.0
1757459242.1649492,0.002,2.8687,0.8242,0.0,0.0569,0.0
1757459242.1678898,0.002,2.8823,0.6272,0.0,0.0569,0.0
1757459242.2140696,0.002,2.8916,0.2842,0.0,0.0569,0.0
1757459242.2622926,0.002,2.8845,-0.3046,0.0,0.0569,0.0
1757459242.2650936,0.002,2.8741,-0.5134,0.0,0.0569,0.0
1757459242.3122945,0.002,2.8533,-0.7495,0.0,0.0569,0.0
1757459242.3597026,0.002,2.8127,-0.8504,0.0,0.0569,0.0
1757459242.3629296,0.002,2.7958,-0.7696,0.0,0.0569,0.0
1757459242.409667,0.002,2.7788,-0.5736,0.0,0.0569,0.0
1757459242.4572413,0.002,2.7712,-0.3827,0.0,0.0569,0.0
1757459242.460146,0.002,2.768,-0.0713,0.0,0.0569,0.0
1757459242.5067253,0.002,2.7817,0.4217,0.0,0.0569,0.0
1757459242.510821,0.002,2.7926,0.5738,0.0,0.0569,0.0
1757459242.5557737,0.002,2.813,0.7073,0.0,0.0569,0.0
1757459242.6030939,0.002,2.845,0.6529,0.0,0.0569,0.0
1757459242.6073039,0.002,2.8559,0.5301,0.0,0.0569,0.0
1757459242.6528769,0.002,2.8658,0.299,0.0,0.0569,0.0
1757459242.70084,0.002,2.8653,-0.1246,0.0,0.0569,0.0
1757459242.7038922,0.002,2.8597,-0.2893,0.0,0.0569,0.0
1757459242.7509413,0.002,2.846,-0.4834,0.0,0.0569,0.0
1757459242.7982543,0.002,2.8346,-0.568,0.0,0.0569,0.0
1757459242.801861,0.002,2.8167,-0.598,0.0,0.0569,0.0
1757459242.8483586,0.002,2.7936,-0.4372,0.0,0.0569,0.0
1757459242.8959396,0.002,2.7874,-0.3105,0.0,0.0569,0.0
1757459242.899271,0.002,2.7839,-0.0841,0.0,0.0569,0.0
1757459242.945479,0.002,2.7855,0.0705,0.0,0.0569,0.0
1757459242.9490688,0.002,2.7929,0.2833,0.0,0.0569,0.0
1757459242.994998,0.002,2.8133,0.4784,0.0,0.0569,0.0
1757459243.0419338,0.002,2.824,0.4942,0.0,0.0569,0.0
1757459243.044791,0.002,2.8368,0.4348,0.0,0.0569,0.0
1757459243.0912368,0.002,2.8494,0.1935,0.0,0.0569,0.0
1757459243.0945323,0.002,2.8505,0.0651,0.0,0.0569,0.0
1757459243.141522,0.002,2.8476,-0.128,0.0,0.0569,0.0
1757459243.1890962,0.002,2.8342,-0.3458,0.0,0.0569,0.0
1757459243.1925364,0.002,2.8255,-0.3935,0.0,0.0569,0.0
1757459243.2390358,0.002,2.8142,-0.3934,0.0,0.0569,0.0
1757459243.2865043,0.002,2.8002,-0.25,0.0,0.0569,0.0
1757459243.2903502,0.002,2.7971,-0.1409,0.0,0.0569,0.0
1757459243.3368568,0.002,2.7967,-0.0002,0.0,0.0569,0.0
1757459243.3835158,0.002,2.799,0.1117,0.0,0.0569,0.0
1757459243.387842,0.002,2.8055,0.2392,0.0,0.0569,0.0
1757459243.4330342,0.002,2.8202,0.3223,0.0,0.0569,0.0
1757459243.436554,0.002,2.8259,0.31,0.0,0.0569,0.0
1757459243.4818578,0.002,2.8333,0.2371,0.0,0.0569,0.0
1757459243.529345,0.002,2.8383,0.0471,0.0,0.0569,0.0
1757459243.5330586,0.002,2.8375,-0.039,0.0,0.0569,0.0
1757459243.5803103,0.002,2.8333,-0.1559,0.0,0.0569,0.0
1757459243.6279004,0.002,2.8224,-0.2556,0.0,0.0569,0.0
1757459243.630689,0.001,2.8171,-0.2537,0.0,0.0569,0.0
1757459243.6777182,0.002,2.8105,-0.215,0.0,0.0569,0.0
1757459243.7254565,0.002,2.805,-0.0748,0.0,0.0569,0.0
1757459243.7284873,0.002,2.8049,-0.0037,0.0,0.0569,0.0
1757459243.774767,0.002,2.807,0.092,0.0,0.0569,0.0
1757459243.8223727,0.002,2.8102,0.1484,0.0,0.0569,0.0
1757459243.824596,0.002,2.8155,0.1958,0.0,0.0569,0.0
1757459243.871606,0.002,2.8244,0.1822,0.0,0.0569,0.0
1757459243.8755467,0.002,2.8273,0.146,0.0,0.0569,0.0
